content,sentiment
aplikasinya bagus dan bisa dengerin musik sambil ngapain aja tapi yang bikin aku badmood adalah iklannya yang kebanyakan.. jadi tolong yaa iklan nya dikurangin.. kalo mau iklan oke gak papa asalkan tidak lama banget.. TAPI INI IKLANNYA ASTAGHFIRULLAHALADZIM MASA SAYA DAPAT BANYAK BANGET UDAH 3 TAPI DURASINYA NAUZUBILLAH dan saya minta tolong banget untuk kurangin ya makasih🙏,1
ada waktu Nya,1
Good,1
"apk GK jelas,,lagi dengerin musik sambil ngegame malah .ati sendiri",0
"Buat kaum mendang mendung, kalo mau Musikan jngan pke ini sii menurutku, iklannya 4× itu juga baru 1 lagu langsung iklan lagii",0
bank lagunya kaya bgt...saya sangat suka,1
Sangatt bagus dan terpercaya,1
lumayan,1
"makin sering dengerin iklan makin banyak, tiap 1 lagu 4 iklan",0
Bagus bngnt aplikasinya,1
kumplit musik ya,1
qiqir bats lu anjink😹,0
sangat bagus,1
plisss kenapaa ya spotify aku udh 4 hari setiap klik spotify kaya ngelag item gitu ini apk lagi bermasalah atau gmn udh coba di hapus trus install lagi ttp aja smaaaa sedihh bgt ga bisa dengerin musik....,0
𝘢𝘱𝘬 𝘯𝘺𝘢 𝘴𝘦𝘣𝘦𝘯𝘦𝘳𝘯𝘺𝘢 𝘣𝘢𝘨𝘶𝘴 𝘵𝘱 𝘬𝘯𝘱 𝘱𝘢𝘴 𝘮𝘢𝘶 𝘮𝘢𝘴𝘶𝘬 𝘣𝘶𝘢𝘵 𝘢𝘬𝘶𝘯 𝘵𝘦𝘳𝘶𝘴 𝘵𝘪𝘣𝘢 𝘵𝘪𝘣𝘢 𝘴𝘦𝘮𝘶𝘢 𝘦𝘳𝘰𝘳,1
dikit2 iklan lawak,0
"gak tau kenapa padahal saya sudah membayar langganan standard tetapi, ketika aku masuk ""pembayaran terakhir kamu tidak masuk"". padahal sudah jelas sekali aku sudah berlangganan, aku juga ada bukti pembayarannya.",0
kebanyakan iklan,0
"aplikasi bagus, audio bagus, lagu lengkap, tpi minusnya iklan yg terlalu banyak sangat mengganggu.",1
bagus sih,1
pernah lag,1
iklannya sangat banyak,0
banyak iklannya,0
bsgus,1
baguss sii,1
terlalu banyak iklan,1
kapok,1
"error terus aja nyetel lagu ga bisa,sekalinya bisa malah ganti ganti lagu padahal lagu yg mau diputer aja belum mulai langsung ganti lagu,sekarang banyak error nya mau mau masuk akun aja susah apalagi dengerin musik nya,gw cuma mau dengerin musik tanpa ada kendala apa apa itu doang ko",0
GILA IKLAN SAMPE 4 JIR😭😭😭,0
musik nya buruk 🤮,1
"tidak bisa masuk, layar hitam",0
"malas mau bikin panjang, mantap 👍",1
hem iklannya kebanyakan,1
bagus,1
amazing,1
lagunya sangat enak didengar semua orang di dunia aplikasi ini sangat cocok untuk memberi rasa tenang pada masayarakat setempat untuk tidak selalu stres dalam urusan pribadi saya harap aplikasi ini dapat membantu masyarakat menghilangkan rasa stres mereka layak diberikan bintang lima5 saya mohon pamit terimakasih pencipta,1
bagus banget,1
bagus bisa mendengarkan musik dengan nyaman asalkan beli langganan,1
ya itu lah,1
bagus,1
spotify taik iklan gk ngotak setiap 1menit kluar iklan,0
"bagus, semua lagu ada, dan terjemahan lagu nya juga ada dan enak bet lagu nya jadi aku kasih bintang 5",1
ini enak banget buat dengerin laguuu best deh! tapi kasih diskon setiap bulan buat pelajar dan paling ngeselinnya tuh batas mendengarkan musik dan disuruh beli premium!,1
"bagus,bisa dengarin semua musik yg aku mau,tapi sekarang agak susah fitur nya",1
"sediakan fitur vn untuk mencari musiknya, biar lebih praktis",1
bagus,1
bagus,1
udh lama make aplikasi ini lama lama makin kikit anjir iklan sampe 4 sekarang terus kadang gabisa pilih lagu sendiri mentang mentang kita ga bayar jangan seenaknya dong,0
enak buat galau,1
keren lagu nya lengkap tapi masalah nya adalah pls buang fungsi primium atau tidak bisa mutar lagu lagi tolong itu membuat semua orang benci app music kaya gini banyak orang gak ada punya uang pls hapus fungsi itu selama nya pls,1
bagus,1
"semua lagu ada disini, membuat saya semakin suka dengan lagu, sampai saya nyanyi nyanyi 🗿👍🏿",1
banyak iklannya baru denger dua lagu iklannya masa 7 mikir kids 😜👈🏻,0
"kikir bet kikir ni apk, masa 2 lagu doang iklan nya bisa 4, pokoknya premium itu = kalah, terhina bgt gw",1
Akisdn,1
"bagus cmn kebanyakan iklan. kita lagi sibuk dengan aktivitas kita, tiba tiba iklan. dulu masih mending iklannya dikit, sekarang udah 4 kocak. heran gw",0
"apaan bgt iklan nya gila, sekali setel lagu langsung ad 4 ikla, trs ga bsa sering"" ganti"" lagu niat mau milih sendiri lagu nya nalah di batasin. emng makin kikir ni apl lama""",0
lagu-lagunya bagus-bagus aku suka banget tapi iklan nya kebanyakan kadang sampai 4 kurangin iklannya dongg,1
mantap,1
Iklannya terlalu sering muncul dan menganggu.,0
dengan segala kurang lebih nya Spotify the best menurutku sekalipun ada aplikasi serupa yang berbayar Spotify fleksibel dan mudah diikuti,1
iklan nya bisa Ampe 4🫠,0
banyak iklan,0
"Hey, I already paid for Spotify Lite and now I have to pay again for the standard version? You're kidding, right?",1
bagus,1
mana lagu pak owo mkan sawit,1
bagus 👍🏻,1
bagus ada lagi yg gw suka gw kasih bintang lima,1
hahhahahah gacor 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,1
suka banget sama aplikasi nya setiap gabut selalu dengerin musik di spotify,1
asliii,1
seneng banget punya spotify lagi beres bisa denger lagu,1
semua lagu hilang di saya,0
ya intinya bagus dan sangat rekomendasi,1
iklannya sgt mengganggu,0
banyakan iklan,1
gg gaming banyak kali iklan nya,0
banyak bgt iklannya,0
pemutar musik video yang sangat bagus. mudah tidak ribet.,1
"tiap mau play lagu, langsung berhenti, abis itu ga bisa play music lagi, searchnya lagu yang muncul playlist semua, padahal ada lagunya sendiri, saya coba alihin akun, awal awal bisa, lama lama error lagi, tolong dong ya segera diperbaiki,",0
good,1
pas main game hilang,1
bagus cuman suka nge lige dikit ples banyak iklan tapi tetep bintang 5,1
"Bagus aplikasinya, tapi tolong iklan sudah banyak, pemilihan lagu jangan di batasi. Alasan kita buka Spotify kan buat dengar lagu yang kita mau, eh malah di batasi. Tolong banget ya",1
aplikasi yang bisa sambil main game dan menggunakan mode sad🙃,1
spotify adalah lagu yg terbaik,1
"aplikasi nya sudah bagus, tapi kok punyaku Spotify nya itu lagunya ganti ganti sendiri padahal lagunya belum selesai, dan nggak bisa dengerin lagu ya?",1
sangat bagus,1
seru,1
bagus banget,1
dengan ada nya Spotify sangat membantu saya dalam mendengarkan musik atau lagu kesukaan saya Fokoknya debest deh Spotify 😍😍😍😍😍😍😍,1
tolong kurangi iklan nya,1
lagu nya bagus,1
sangat bagus untuk mendengarkan musik,1
saat aku nyetel lagu langsung berhenti,0
suka banget pliss sama apk satu ini,1
bagus banget buat dengerin lagu,1
bagu cocok buat dengerin lagu,1
"WOI BUG DI PERBAIKIN , GABISA MASUK LAH KE APLIKASI, GABISA Stye MUSIKLAH, IKLAN MAKIN BANYAK",0
bagus bisa buat party,1
"yang protes banyak iklan tinggal beli premium aja plisss, gk usah protes, lau kira orang bikin aplikasi gak pakai uang 😂",1
IKLAN NYA KEBANYAKAN,1
berguna banget,1
olol,0
Rekomend banget siee,1
dikit dikit iklan,1
bagus,1
enak bngt bisa dengerin lagu sambil chatan terus ga bayar lagi,1
denger lagu aja bayar,0
ok dan trimakasih,0
memang bagus apkny tapi masalahnya nguras data/kuota hehe,1
bagus,1
gacorrr,1
"suka tiba2 ada lagu yg familiar dan bikin nostalgia, aku memutar lagu yg di suka/simpan tapi ada lagu yg belum di simpan/suka, itu seru jadi nemu lagu yg dulu aku suka seperti kejutan",1
good,1
mntao,1
menurut ku spotify itu -1 walau pun aku sering pakai spotify tapi kenapa setiap main game suka berhenti sendiri padahal sinyal bagus terus sekarang makin kikir dulu iklan dikit sekarang banyak ada 4 terus 1 iklan 15 detik lebih terus banyak bug kayak gak bisa masuk apk terus masih banyak emang aplikasi jelek !,0
good,1
bagus,1
banyak lagu nya,1
"aplikasinya cukup bagus, tapi dikit"" iklan",1
aplikasi spotify ini ada banyak pilihan lagu-lagu yang terbaru dan dapat kita dengarkan secara gratis maupun berbayar,1
suka banget sama Spotify🤍,1
josss tnan,1
"bagus, cuma suka keganggu sama iklan premium aja, tapi it's oke lah segini mahh",1
mantap aplikasinya,1
kikir.shuffle aj harus premium.kikir kikir.iklan makin banyak segitu harusnya ya bayar premium?,0
keren,1
bagus,1
enak,1
kebanyakan iklan kikir nih aplikasi,0
asik,1
aku suka lagu cintaku bukan diatas kertas,1
"aplikasi ribet, lain yg di cari lain yg keluar musiknya, auto uninstall, kesal gua nj111rr",0
It's really cool and there are lots of songs too 👌,1
p p apa Pian sungguh mempesona u u apa Ulun jadi jatuh cinta,1
gacor bgt enak,1
jembot,0
saya pengguna spotify dan merasa senang dan mudah dengan aplikasi ini. tapi tolong untuk harganya agar bisa lebih di sesuaikan. terima kasih,1
seru,1
sangat nyaman dengan aplikasi ini,1
singkat padat jelas KIKIR,0
iklan nya banyak banget,0
bayar spotifynya susah,0
bagusa,1
aku balum coba tapi tetap aku kasih bintang,1
seru banget bisa di bawa main game,1
terlalu maksa iklan nya br kali kali g masuk akal 2 music iklhan 4×,0
kikir,1
saya mau lapor kenapa lagu saya hilang dan mengapa saya tidak bisa mendengar kan lagu saya padahal saya sudah simpan lagi dari 200 lebih dan kenapa sekarang 0??,0
aneh kenapa pas itu spotify bisa ngemaju mundurin lagu tapi sekarang ga bisa,0
bagus,1
lagu nya bgs bgs,1
enak banget ngemusik sambil main game,1
"sportify melakukan pemotongan saldo gopay dan topup sendiri tanpa ada konfirmasi dari customer/konsumen. ini tidak layak dan sepatutnya seperti itu. untung masih saldo gopay bagaimana jika terconnect dgn rekening bank bisa juga dng sendirinya melakukan pemotongan saldo bank dan bisa juga terkuras habis. padahal akun saya sudah expired jatuh pd tgl. 26 mei 2026. kemarin sore saldo gopay saya masih ada 70 an ribu ternyata td pagi saya chek terpotong Rp. 59.900,- dipotong oleh sportify. koq bisa ya",0
"Woilah kalo udah iklan itu harusnya langsung ke lagu yang gw play jim, kenapa malah di timpa asw. Iklannya lama lagi Cok malah di timpa",0
udah bagus,1
apk rekomend untuk denger lagu,1
bagus,1
Autoplaynya jelek. terlalu ngepush lagu dari artis yang bayar dan payola.,0
asik,1
keyennnnnn,1
oke,1
terlalu banyak iklan dan tidak bisa dihapus,0
"app bguss,tpii ga sukaa iklannya biasa pling dkit 3 iklann",1
bnyk bgt iklanny,0
mempermudah kita mendengar musik,1
"bagus, lagu nya lengkap, cuma banyak iklan yang mengganggu bgt, dulu cuma 2 lah sekarang ada empat iklan. niat nya mau dengerin lagu malah dengerin iklan sampe sampe hafal sama iklan nya",0
bangus,1
bagus,1
"dengerin lagu lebih bagus, kualitas juga bagus, bisa lebih mengenal idola kita dan berasa lebih dekat dengan idola",1
sungguh aplikasi yang tidak berguna menurut saya YouTube lebih bagus dari pada aplikasi sampah ini 🤬🤬🤬,0
baikk hanyaa sajaa suka iklan dulu sekarang waktu kemarin kemarin mah ga ada iklan nya dulu,1
jangan terlalu banyak iklan,1
"iklannya agak brutal , tapi oke",1
"harus berlangganan baru bisa diputar,,awal awal aja gratis..lama lama iklan makin banyak,sebagian lagu gk bisa di putar ,harus berlangganan",0
bagus bgt,1
bagusss,1
makin banyak iklan,0
sangat bagus,1
Sangat Baik dan dapat membantu mengisi kebosanan,1
buat mode pembayaran gampang banget tiba berhenti langganan error terus mau cuan aja,0
menarik sekaliii,1
mantap,1
"enak bisa denger lagu langsung tanpa cari di tiktok, aku kasih 5 rating 🌟🌟",1
"aplikasi kikir, apa-apa harus premium mending boikot aja ni",0
music nya enak dan rapi,1
bagus bet tapi jangan dikit dikit bayar yaa😭,1
iklan na tolo banyak sekali,0
"iklan terus, kalo di buka layarnya gelap, udh di install, uninstall, install LG tetep kaya gt",0
"favorit kuu inii, tapi pliss lahh kalo milih lagu jangan dikasih limitt",1
goood,1
sangat buruk layar cuma item doang banyak iklan menyebalkan,0
asik,1
aplikasi ini cukup bagus saya suka dengan aplikasi ini,1
"kebanyakan iklan aja, apa lagi maksa premium, guee gak bakal premium 😛😛",1
Bagus,1
TERBAIK..!!!!,1
"bagus bngt cuman pas lagi asik asik nya dengerin lagu ehh ada iklan tolong iklan di hapuss,, tapi ini ku kasih bintang 5 kok😁",1
mantap,1
kerenn,1
cocok di dengar,1
kalo gak ada iklan lebih enak,1
bagus rekomendasi banget,1
iklan mlu bjir skrg,0
Engga bisa urutin lagu sama yang sesuai lagu favorit parah,1
love you full,1
iklanya menggangu,0
kikir,0
aplikasinya bagus banget aku jadi bisa dengerin musik favorit aku yaitu bertaut dari nadin amizah,1
good,1
aku sangat suka mendengarkan music di sportify,1
tolong ini gimana yaa mau login lewat nomor telepon gabisa teruss padahal nomornya sudah benarr😭😭,1
mw lu kasi iklan ampe 100 jg g bakal gw premium setang,0
keseluruhan udah bagus tapi iklannya lumayan banyak,1
iklan nya banyak bgt njir,0
"iniii sangat bagus, tapi lebih bagus lagi jika iklan premium di perkurang agar meraka yang tidak premium lebih nyaman menggunakan aplikasi ini",1
Karena iklan Mulu,1
sagan jelek,0
"mksh spotifi sdh hadir, tlg promony mksh",1
ini apk buat mendengarkan lagu enak! lagu serba ada!,1
ok bagusnya,1
"parah banget iklan nya 4, baru buka apps udh iklan duluan",0
saat Ingin login ke Spotify ngestuk dengan layar hitam tidak masuk ke playlist,1
kenapa saya tidak bisa masuk ke akun saya? padahal sudah menyambungkan 'lanjutkan dengan google' muncul notif 'email ini sudah terhubung denga satu akun'. sebel bgt padahal udah selalu berlangganan. tolong d bantu !,0
mantap bg,1
bsnyak iklan nya,0
bagus,1
sangat suka denger lagu pas lagi mau tidur,1
"makin hari makin menjadj-jadi iklannya, mana 30dtk semua lagi, iklannya muncul setiap 1-2 lagu, hadeh capek dengar si roni paroliang aja",0
"kikir, banjir iklan",0
Spotify is the best good 🗿,1
ok lahh..... sebagai pengguna baru saya akan bilang bagus² aja kok,1
"sekarang 1 lagu langsung iklan terutama lagu-lagu yg durasinya diatas 3 menit dan iklannya langsung 4 lapis, duhh sampe kapanpun gua ga mau keluar 1 receh pun buat beli premium di aplikasi kikir ini, sementara pake Lyra dulu deh",0
bagus sih tapi kekuragan nya harus disuruh ganti permeum pas ganti lagi dk bisa lagi malah di suruh putar besok,1
"GANTI PAKAI PEMUTAR MUSIC BARU AJA,terlalu Banyak iklan berlapis lapis, banyak pemutar music yg lain, GANTI GANTI GANTI, Nanti kalau sudah bagus baru pasang lagi,thx",0
kebanyakan iklan nya anjirr,1
mantap,1
seru,1
semua lagu ad,1
sangat menghibur,1
saya baru masuk heh tiba-tiba gak bisa ini ada apa sama aplikasi iya udah saya kasik dua bintang aja deh,0
ambatukam,1
terimakasih telah menemani hari hari ku,1
lagunya enak' tapi sekali iklan langsung 4-5 ya kak yaa,1
"ga tau masalahnya apa, spotify gua ga bisa dipakai, kalau pakai hp lain bisa dipakai tapi beberapa lagu di playlist gua hilang/ga bisa diputar sama sekali",0
mantul,1
pelit bgt kalian sama yng nggak mampu beli premium,0
enjoy banget dan have fun,1
aplikasi ini membuatku senang mendengarkn lagu kesekuanku,1
👍,1
demi un gerr bagus+keren semuaa mantep lah pokoknya 🫶,1
udah banyak iklan putar lagu sangat terbatas jembut emang Spotify,0
Kenapa aplikasi ini sering offline sendiri.,0
minus banyak iklan,1
oh hell no iklannya sekarang 4??,1
bals dong,1
menampilkan lirik,1
"buat gw, cari musik disini gampang bet, bro this is fire bro🔥🔥",1
sekarang BANYAK BUG ga kya dulu tolong diperbaiki lagi. baru buka layar hanya gelap tidak muncul lagu.,1
"apk rusak, mau masuk apk kaga masuk masuk layar hitam mulu, sebelum nya sama juga tapi pas di cek blm update, pas udah di update sama aja, udah apk rusak, premium mahal, iklan banyak",0
bagus ini aplikasi cuman masalahnya kurang nih nggak tahu kenapa nih ye sinyalnya atau gimana mungkin emang batas kali ya tiba-tiba kayak aku mau dengar lagu gitu terus di home itu kayak ada masalah coba lagi aku pencet kan itu coba lagi coba lagi terus juga bisa aku udah ganti akun 4 kali sama aja kayak gitu kenapa ya harus beli premium gitu? sekian dari aku itu aja.,1
sangat bagus,1
bagus sekali saya sukaaa,1
bagus bagus aja sih. kalo ada yg bilang terlalu banyak iklan tingkat an aja ke premium apa susah nya namanya juga gratisan banyak mau nya banget,1
jelek lemot kapitalis,0
seruuu.... bisa galau sama Spotify,1
musik2 keren dan popcast bagus juga ada 👍,1
"Bagus tp makin kesini iklannya makin ga masuk akal deh.. setiap dengerin 1-3 lagu bakal ada 4 iklan berurutan, jujur jadi keganggu. Kalau semisal iklannya dikurangin dan ga kebelet haji uda bagus bgt sih.",1
"akun nya yang saya buat keluar sendiri tanpa penjelasan. setiap saya mau putar lagu ada iklan, menurut saya itu terlalu mengganggu",0
"Spotify kontol, gua download bukan karena butuh atau mau tapi karena, pas gua main game anying kepencet tuh iklan",0
suka dengar lagu,1
"kenapa sering ngefreez trus keluar sendiri yah belakangan ini? padahal udh bertahun² pakai gak pernah gini, tolong diperbaiki",1
lumayan banyak iklan nya,1
karena bisa dengerin lagu sou Favela,1
bagus banget wajib punya aplikasi ini,1
"yg lainnya sudah bagus, saya sarankan untuk tambah kan fitur putar lagu random, dan bukan cuma lagu yg ada di playlist, supaya kita bisa mengenal banyak lagu baru.",1
"Kikir, makin lu batasi fitur makin menantang gw buat gak beli premium. Ayo, fitur kikir apa lagi yang mau lu tambahin?gak bisa buat playlist pribadi kalau gak premium? gassken, gak bisa make aplikasi kalo gak premium? gassslah, gak bisa download kalau gak bayar? gass banget gw mah. Mending beli YT Music Premium gw, kikir.🤮🤮",0
suka.,1
agak gk lengkap,1
"saya suka dengan apk nya cuma Minggu lalu saat saya coba masuk Spotify lagi ada tanda pemberitahuan""ada yang salah coba ulang lagi""padahal internet saya bagus sampai sekarang masih begitu",1
"bagus aja jirtt, cuman kurangin iklan aja ya, soalnya temn teman ane capek nunggu iklan, dan juga orang orang di luar sana masa iklannya Sampek delapan, eh bujuk dah, kurangin aja ya iklannya min😊😊✌️",1
banya iklan,0
"ini knpa sih skrg , sering ngelag? layar jadi item eror atau gimana? udah beberapa kali loo.",1
boikot !!!,0
sangat bagus,1
bagus si tapi ada iklan nya,1
kualitas sound yang bagus,1
"suka banget, kadang iklannya ada 4 itu sih yang bikin kesel, tapi tetep bagus kok seru enak lagu-lagunyaa bebas dengerin laguu yang trending😋👍",1
mines iklan,1
aplikasi nya bug ga bisa kebuka,0
min aku kenapa gak bisa masuk ya?,0
Sebernanya Enak enak aja sih Tapi Kurangin iklan kayak kita puter 1 lagi Masa iklannya 3-4 iklan Ya emng si Ada Premium Spotify tapi kalo banyak iklan orang orang cepat bosan Terus Harga Premiumnya Mahal.. 😐,1
"terdapat 1 iklan bandel, gabisa diganti yang laen apa ?",0
lagu di playlist sering terhapus sendiri. tolong evaluasi lagi aplikasinya sepertinya bug.,0
"tolong jgn kebanyakan iklan lah, masak sampe 3",1
aku suka banget lagu nyah kumpelit,1
"iklannya banyak banget, berasa dengerin iklan bukan lagu",0
sangat bagus,1
bagussss,1
dipaksa pakai premium,0
kerennnnn bangettt,1
jelek banget sekarang PE gaturanya ribet gabisa bebas pilih lagu banyak iklan campur campur poknya jelek banget,0
sangat bagus,1
bagus,1
bagus,1
aplikasi musik terbaik gratis lagi mantap🥰🥰🥰,1
baguss suka bgtt sama lagunya,1
Kebanyakan iklan... Lama2 mau ngederin musik apa ngederin iklan 😂,0
"aplikasi musik terlengkap, terbaik,namun kalo bisa iklan nya agak di kurangi dikit😅😅",1
lumayan,1
aku suka bgt,1
lope lope 💗,1
cocok buat aku galau,1
sekarang gk enakkkkk mau pilih lagu sendiri malah harus premium gk asikkkkkkk,0
"banyak iklan, pelit, ada batas pemilihan lagu per hari, sering bug, sering black screen",0
semakin kikir iklanya,0
"fitur premium ngeselin, lagi enak enak denger lagu malah kena batas milih lagu sama skip lagu. Agak risih karena harus nunggu besok lagi tapi buat kualitas lagunya banyak dan mungkin pihak bisa ngehilangin fitur batas lagu",0
"wkwkwk dikit2 iklan, baru nyetel 2 lagu iklannya 4",0
keren banget dah bintang 7 dehhh,1
oke banget,1
"suka tapi iklannya kadang banyak banget, tolong kurangi dikit , setiap iklan 1 iklan aja",1
mantap,1
bagus sih tp sayang nya kikir iklan nya banyak bgt sampe 4 dan itu agak ngeselin,1
aplikasi nya sangat bagus 😋,1
"Aplikasi apaan ini sih!?, padahal aku udah update kemarin, terus kenapa sekarang tidak bisa dibuka?.. sampah!",0
santau,1
sangat bagus,1
bgus bgt,1
perlu ada statistik untuk lagu yang di dengar,1
ini kok mati sendiri saat main,1
mantap👍,1
tolong dong iklan ya di kurangi masa setiap putar lagu ada iklannya,1
bagus,1
baguss serng bgt dengerin lagu di sni kalo lagi main game tapi kadang suka ngeleg tapi gapapa ttp bagus saya sukaa🥰🥰,1
sekarang sering error,0
sangat cocok,1
ga bisa di buka udah uninstall terus download lagi tetep ga bisa,0
semua lagunya seru-seru dan banyak juga lagu di indonesia sama luar negeri,1
enak didengar sambil kerja,1
aplikasi pelit kebelet umroh iklan nya kurangi dong,0
"bagus tapi di paksa premium terus sama spotifynya ditambah iklan nya ga kira kira, pernah dapet sampe 7 iklan cuman buat dengerin 1 lagu",1
anj 1 lagu 1 iklan gw miskin woi g smua orng bisa premium,0
Aplikasi paling lemot,0
aplikasi ini sangat bagus untuk menenangkan diri sendiri dan hati musik enak dan keren 👍🏻👍🏻🎉,1
belom coba,1
bagussss syukaaaaa the best lah pokok e g nyesel dowload iki,1
sempurna,1
IKLAN NYA KAGAK NGOTAK 4-5 PADAHAL YANG DI PUTERIN LAGUNYA CUMA 3 PARAH SIH GELO💔,0
"makin kikir ni apk, gsk soalnya maksa buat prem. in this economy aku lebih milih mabok iklan daripada premium spo",0
sanyat menyenang kan,1
sangat asik di dengerin nya,1
mantap,1
keren,1
ikalnya terlalu banyak,1
mantap,1
keren,1
kikir banget anj mau pilih pilih lagu harus premium mulu,0
iklannya nggak ngotakkk,0
"bagus banget woy,juga banyak lagunya",1
"bagus sekali kalo lagi, apa² tu pasti suka dengerin lagu Spotify pokoknya bagus dehh",1
lagunya asik🤟👁️👄👁️🤟,1
bagus baget,1
aplikasi ini tidak bisa di masuki aku sudah coba beberapa kali dan tidak ada al hasil layar hitam adanya . saya suka dengan musik nya tapi tidak dengan eror nya tolong di perbaiki secepatnya,0
"banyak iklannya shibal,mlzz premium mahal cuyyy",0
buat yg sakit hati aja sih menurut gw,1
enak didengar,1
"kenapa akhir2 ini sering gabisa masuk ya,,ngefreeze terus,,harus uninstall dulu trs instal ulang baru bisa masuk",0
"𝐁𝐚𝐠𝐮𝐬 𝐛𝐠𝐭𝐭, 𝐜𝐨𝐜𝐨𝐤 𝐤𝐚𝐥𝐨 𝐥𝐚𝐠𝐢 𝐠𝐚𝐛𝐮𝐭 𝐝𝐚𝐧 𝐩𝐞𝐧𝐠𝐞𝐧 𝐬𝐞𝐭𝐞𝐥 𝐦𝐮𝐬𝐢𝐜, 𝐦𝐮𝐬𝐢𝐜² 𝐧𝐲𝐚 𝐣𝐮𝐠𝐚 𝐛𝐚𝐠𝐮𝐬² 𝐤𝐨𝐤𝐤, tetapi kadang banyak bug seperti layar hitam atau tidak bisa dibuka apk nya",1
best bgt,1
aplikasi haram kebanyakan iklan setiap pilih lagu selalu ada iklan harus premium dulu mana kalo mau premium mahal,0
okkkk,1
sangat bagus untuk mencari lagu lalu menggunakan aplikasi lain untuk mendownload bisa juga digunakan saat sedang malas download lagu dan ingin mendengar lagu baru kalo yang bilang banyak iklan ya wajar kan gratis kalo ga mau iklan ya bayar,1
Terimakasi spotify luar biasa...,1
suka aja banyak lagu pilihan,1
enak buat belajar,1
aplikasi pelit dan mengerikan...,0
sangat seru mendengarkan musik di sini,1
bagus saya bisa mencari lagu yang saya suka,1
aku Mon kasi sistem free nya buat Pili musik jangan harus premium 😭 dulu kalo bisa harga premium nya bisa enga rp 19.000 : 1 bulan,0
baguss,1
bagusssss,1
the best pokok nyaa,1
sangat baik dan bagus tapi harus di bayar,1
bagus,1
bagus,1
ok bgt,1
sangat bagus bisa dengerin musik sambil maen game,1
jangn bagus di apotify ini dengerin musik,1
bagus banget Cok lu wajib coba sih lagu yang ada di Spotify,1
aplikasi terbaik bagi saya saat ini karena jarang iklan muncul,1
kenapa setiap login ada tulisan coba lagi,1
sejauh ini baguss cumann iklan nya terlalu banyak untuk yang tidak join premium😊🙏🏻,1
"Spotify sekarang lebih mentingin cuan ..bentar bentar iklan bentar iklan mending kalau iklan nya satu , lah ini empat terus mending gua pindah ke yg lain dah ah",0
"kenapa jadi ribet gini anjinggg. kasih 🌟 satu aja, malah kek babiii ni aplikasi",0
lama lama makin kikir juga ini apk,0
